datetime,MOM5,MOM20,MOM60,MOM_DIVERGE,MOM_ACCEL,VOL_RATIO_5_20,VOL_RATIO_20_60,AVG_RANGE_10,VOL_SURGE_5_20,VP_CORR_20,OBV_RATIO_10,DIST_MA20,RSI_14
2015-01-02,0.14323451331640996,0.2071490019182945,0.3366343059435583,-0.32155441952361014,-0.0001836074748391635,0.1201346801956624,-0.07603032338196673,-0.18752624547353441,0.19247345945650013,-0.017616507074189245,0.02543540837324798,0.16074234471726098,0.06683915807860254
2015-01-05,0.3305616769881803,0.2599709656664109,0.3508106177556279,-0.30274161706491215,-0.15683094201164735,-0.044514596463117846,-0.19532857810212986,-0.13032815501192366,0.10377029558488789,-0.04203216959092864,-0.06405637749499936,0.08927396753897791,0.0007467523454714692
2015-01-06,-0.17551648725252436,-0.2799037516962293,-0.1328065409974972,0.09920455619734819,-0.13843697722253673,0.131052107903324,-0.06987015301433983,0.14991158473391494,-0.10400684245788303,-0.003839964698483844,-0.2609690418856137,-0.19928922816394004,-0.11551998393463968
2015-01-07,0.1981848959615909,0.13666912232024842,0.06907173432142821,-0.0026679451625667636,0.11546046660745528,-0.1594050443386535,-0.07963283073539852,-0.025057868845492482,0.005123843402944327,0.1681304559052884,0.011546905417751276,0.16140851709326634,0.11220218105196092
2015-01-08,0.4546212975150336,0.3890310931413007,0.31352438397791865,-0.22482283057881994,0.019294543306856912,-0.026375068691664193,0.0265438581763472,-0.3126567703040057,0.10744745645856442,0.02024149101545778,0.3812388850487049,0.4067112128015661,0.41246836313494767
2015-01-09,0.08914287792871507,0.0896415552791138,0.031709329062536436,-0.0014692417274383967,0.02524886135476785,-0.016780628679178698,-0.011848115014013491,-0.1814215821197059,0.012090284447643871,0.028550410295838404,-0.028099276336897176,0.06442363486164368,0.06580246867961209
2015-01-12,0.20530904719485907,0.22991362190036282,0.06649688239930843,0.00198364862969613,0.2595678728553717,-0.04494935589654889,-0.04854997510392223,-0.08962349859310467,-0.11407542486409868,0.19456322946987126,0.169213995045195,0.22652368331266207,0.20432570700786365
2015-01-13,0.17388324378951767,0.2170131565639761,0.10347274278960904,-0.07799342102161477,0.011103246896426116,-0.1957038829812189,0.05768016169368329,-0.4523366810052069,-0.1263429035605109,0.06975417384687613,0.24170675893428503,0.27527925648877755,0.23132251242613847
2015-01-14,-0.036618053932133986,0.0038311566537694037,-0.07993976958158355,0.061372711862478536,0.15900177219528722,0.057075551154936253,-0.120867975671491,0.37818309797645316,0.06200745797320898,0.047842373339782585,0.006524130390273095,-0.06991374631220804,-0.04202000169549436
2015-01-15,0.04580979479403473,0.012220645359458576,0.07391129090073074,-0.06272121511425247,-0.047508859968213316,0.002272810922854977,0.044971383660860925,-0.0900128318623978,0.021803818990476637,-0.06998738099190477,0.020532901436190274,0.026486909238778632,0.010953423192338668
