,avg_turnover
KMID,0.8721579867976368
KLEN,0.6977844855272076
KMID2,0.8818303531552629
KUP,0.825220745576039
KUP2,0.8847049550495786
KLOW,0.8311585121444839
KLOW2,0.8850643766342159
KSFT,0.8713900406133317
KSFT2,0.8811696927568584
OPEN0,0.8683425419965723
HIGH0,0.8130926732466319
LOW0,0.8702781669185732
VWAP0,
ROC5,0.49697193299923786
ROC10,0.3742599452415933
ROC20,0.27743896147436486
ROC30,0.22963217803798708
ROC60,0.1680679162995643
MA5,0.5946795639737812
MA10,0.440783726345304
