,factor_a,factor_b,correlation
179,IMXD60,SUMN60,0.8281
180,IMXD60,SUMD60,0.8281
181,IMXD20,SUMP20,0.8277
182,IMXD20,SUMN20,0.8277
183,IMXD20,SUMD20,0.8277
184,RSV20,SUMD10,0.8269
185,RSV20,SUMP10,0.8267
186,RSV20,SUMN10,0.8267
187,KSFT,LOW0,0.8264
188,KMID,KMID2,0.8258
189,QTLU10,QTLU20,0.8258
190,IMXD30,SUMD30,0.8257
191,IMXD30,SUMP30,0.8254
192,IMXD30,SUMN30,0.8254
193,MIN10,QTLD10,0.8247
194,ROC10,MA30,0.8225
195,MAX20,MAX30,0.822
196,RSV10,SUMD5,0.8208
197,RSV10,SUMP5,0.8207
198,RSV10,SUMN5,0.8207
199,BETA30,QTLU30,0.8206
200,RSV60,SUMP30,0.8195
201,RSV60,SUMN30,0.8195
202,RSV60,SUMD30,0.8195
203,CNTP20,CNTP30,0.8191
204,ROC30,MAX30,0.818
205,CNTN20,CNTN30,0.8174
206,IMXD10,SUMD10,0.8151
207,CNTD20,CNTD30,0.815
208,ROC30,SUMP30,0.8149
209,ROC30,SUMN30,0.8149
210,ROC30,SUMD30,0.8149
211,IMXD10,SUMP10,0.8149
212,IMXD10,SUMN10,0.8149
213,RSV30,SUMP30,0.814
214,RSV30,SUMN30,0.814
215,RSV30,SUMD30,0.814
216,RESI20,RESI30,0.8136
217,MA30,SUMP20,0.8134
218,MA30,SUMN20,0.8134
219,MA30,SUMD20,0.8134
220,MA30,RSV30,0.8131
221,ROC10,QTLD20,0.8111
222,BETA5,QTLU5,0.8111
223,IMXD5,SUMD5,0.8109
224,IMXD5,SUMP5,0.8108
225,IMXD5,SUMN5,0.8108
226,VSUMP60,VSUMD60,0.8104
227,RANK30,SUMD10,0.81
228,VSUMN60,VSUMD60,0.8099
229,RANK30,SUMP10,0.8098
230,RANK30,SUMN10,0.8098
231,STD60,BETA60,0.8097
232,RSV20,SUMP20,0.8097
233,RSV20,SUMN20,0.8097
234,RSV20,SUMD20,0.8097
235,CORD20,CORD30,0.8097
236,QTLD30,QTLD60,0.8089
237,VMA20,VMA30,0.8089
238,SUMP20,SUMP30,0.8081
239,SUMP20,SUMN30,0.8081
240,SUMP20,SUMD30,0.8081
241,SUMP30,SUMN20,0.8081
242,SUMP30,SUMD20,0.8081
243,SUMN20,SUMN30,0.8081
244,SUMN20,SUMD30,0.8081
245,SUMN30,SUMD20,0.8081
246,SUMD20,SUMD30,0.8081
247,KLEN,LOW0,0.8079
248,MA10,BETA10,0.8079
249,CNTD5,SUMD5,0.8078
250,STD20,STD30,0.8077
251,CNTD5,SUMP5,0.8076
252,CNTD5,SUMN5,0.8076
253,MA10,QTLU5,0.8073
254,ROC5,SUMD5,0.8065
255,ROC5,SUMP5,0.8064
256,ROC5,SUMN5,0.8064
257,RESI60,QTLD20,0.8057
258,MAX10,QTLU20,0.8055
259,CNTP20,CNTD30,0.8052
260,CNTN20,CNTD30,0.8052
261,MA30,RANK30,0.805
262,MA20,BETA20,0.8047
263,CNTN5,SUMN5,0.8046
264,CNTN5,SUMD5,0.8043
265,ROC30,MA30,0.804
266,CNTN5,SUMP5,0.8037
267,MAX5,MAX10,0.8036
268,CNTP5,SUMP5,0.8036
269,CNTP5,SUMD5,0.8033
270,CNTP30,CNTD20,0.8033
271,CNTP5,SUMN5,0.8027
272,ROC10,QTLU10,0.8025
273,CNTN30,CNTD20,0.8012
274,RSV10,SUMD10,0.8009
275,BETA10,QTLU10,0.8008
276,RANK60,SUMP20,0.8008
277,RANK60,SUMN20,0.8008
278,RANK60,SUMD20,0.8008
279,RSV10,SUMP10,0.8008
280,RSV10,SUMN10,0.8007
281,MA20,RSV20,0.7999
282,RSV60,SUMP60,0.7995
283,RSV60,SUMN60,0.7995
284,RSV60,SUMD60,0.7995
285,VMA30,VSTD20,0.7988
286,MA20,RANK20,0.7985
287,ROC5,RESI20,0.7983
288,ROC60,SUMP60,0.7982
289,ROC60,SUMN60,0.7982
290,ROC60,SUMD60,0.7982
291,MA10,RESI30,0.7975
292,RESI10,QTLD5,0.7973
293,RESI60,QTLD30,0.7973
294,MAX30,QTLU60,0.7973
295,RESI30,QTLD10,0.7968
296,MA10,RESI20,0.7946
297,ROC20,QTLD30,0.7943
298,MA30,MAX20,0.794
299,RSV5,SUMD5,0.7939
300,RSV5,SUMP5,0.7938
301,RSV5,SUMN5,0.7938
302,BETA30,MAX30,0.7937
303,QTLU5,QTLU10,0.7936
304,ROC5,QTLD20,0.7927
305,ROC20,BETA30,0.7913
306,ROC20,MA20,0.791
307,MA20,RESI60,0.7908
308,BETA20,QTLU20,0.7908
309,VMA30,VSTD60,0.7901
310,BETA5,RESI20,0.7898
311,ROC5,MA20,0.7893
312,MA60,BETA60,0.7891
313,ROC20,QTLD60,0.7873
314,ROC5,RESI30,0.7869
315,MAX30,MAX60,0.7859
316,ROC20,ROC30,0.7848
317,MA10,QTLU20,0.7846
318,MA60,BETA30,0.7844
319,BETA10,QTLU20,0.784
320,MIN60,QTLD60,0.7838
321,VMA20,VSTD10,0.7835
322,QTLD60,SUMP30,0.783
323,QTLD60,SUMN30,0.783
324,QTLD60,SUMD30,0.783
325,MA30,BETA10,0.7825
326,ROC20,QTLU20,0.7816
327,MA20,SUMD10,0.7811
328,MAX5,QTLU10,0.7811
329,MA20,SUMN10,0.781
330,MA20,SUMP10,0.7809
331,STD30,STD60,0.7807
332,MA20,RANK30,0.7804
333,MA30,QTLD20,0.7803
334,VSTD30,VSTD60,0.7798
335,MIN20,QTLD30,0.7796
336,ROC10,QTLD30,0.779
337,BETA20,SUMP20,0.779
338,BETA20,SUMN20,0.779
339,BETA20,SUMD20,0.779
340,MA5,RESI30,0.7789
341,MA20,QTLD10,0.7787
342,BETA5,RESI30,0.7785
343,KSFT,KSFT2,0.7773
344,RANK30,IMXD20,0.777
345,QTLU20,QTLU30,0.7754
346,RESI20,QTLD10,0.7747
347,QTLD60,RANK60,0.7739
348,RANK30,RSV60,0.7728
349,MA30,RSV20,0.7725
350,RANK30,RSV10,0.7717
351,MA10,SUMD5,0.7714
352,MA10,SUMP5,0.7713
353,MA10,SUMN5,0.7713
354,RANK10,RSV20,0.7712
355,MIN60,QTLD30,0.7709
356,RSV30,IMXD20,0.7709
357,MA60,RSV60,0.7697
358,BETA5,QTLU10,0.7691
359,MIN30,QTLD20,0.7689
360,WVMA20,WVMA30,0.7689
361,MA20,QTLD60,0.7681
362,CNTP30,CNTN20,0.768
363,BETA20,QTLD30,0.7676
364,MA10,RSV10,0.7669
365,BETA10,SUMD10,0.7667
366,BETA10,SUMP10,0.7666
367,BETA10,SUMN10,0.7666
368,MA10,QTLD30,0.766
369,CNTP20,CNTN30,0.766
370,RANK60,RSV20,0.7654
371,MA10,RANK10,0.7647
372,RESI20,QTLD5,0.7644
373,ROC5,QTLD5,0.764
374,RESI20,QTLU5,0.7625
375,QTLD60,RSV60,0.7624
376,ROC5,QTLU5,0.7618
377,CNTD10,SUMD10,0.7609
378,CNTD10,SUMP10,0.7607
379,CNTD10,SUMN10,0.7607
380,BETA20,QTLD60,0.7606
381,STD30,MAX30,0.7604
382,RANK20,IMXD10,0.7592
383,RSV60,SUMP20,0.7586
384,RSV60,SUMN20,0.7586
385,RSV60,SUMD20,0.7586
386,CNTN10,SUMN10,0.7576
387,MIN20,MIN60,0.7572
388,CNTN10,SUMD10,0.7572
389,CNTN10,SUMP10,0.7564
390,MA10,QTLD5,0.7547
391,ROC20,MAX20,0.7545
392,RESI30,QTLD5,0.7542
393,BETA5,QTLD20,0.7541
394,CNTP10,SUMP10,0.7538
395,MA5,QTLU10,0.7534
396,CNTP10,SUMD10,0.7534
397,RANK20,SUMD5,0.7531
398,RANK20,SUMP5,0.753
399,RANK20,SUMN5,0.753
400,CNTP10,SUMN10,0.7527
401,RESI60,QTLD10,0.752
402,RANK60,IMXD30,0.7519
403,RANK10,RANK30,0.7513
404,RSV30,SUMD10,0.7507
405,RSV30,SUMP10,0.7505
406,RSV30,SUMN10,0.7505
407,RESI60,MIN30,0.7501
408,ROC10,MAX10,0.75
409,ROC20,RSV30,0.7495
410,RESI60,MIN20,0.7489
411,VSUMP30,VSUMN30,0.7481
412,ROC10,RANK20,0.746
413,RANK20,RANK60,0.7457
414,RANK10,IMXD5,0.7456
415,QTLD30,RANK30,0.7451
416,ROC60,STD60,0.7448
417,MA10,RESI60,0.7443
418,MA30,SUMP30,0.7442
419,MA30,SUMN30,0.7442
420,MA30,SUMD30,0.7442
421,MA60,RANK60,0.7428
422,RANK20,SUMP20,0.7422
423,RANK20,SUMN20,0.7422
424,RANK20,SUMD20,0.7422
425,QTLU20,RSV20,0.7421
426,RSV30,IMXD30,0.7412
427,STD10,STD20,0.7407
428,MIN20,QTLD10,0.74
429,MA30,BETA30,0.7395
430,MA10,RANK20,0.7393
431,BETA10,MAX10,0.7389
432,MA60,MAX20,0.7381
433,MA20,BETA5,0.7375
434,BETA10,QTLD20,0.7367
435,RANK30,SUMP30,0.7363
436,RANK30,SUMN30,0.7363
437,RANK30,SUMD30,0.7363
438,MIN5,QTLD10,0.7362
439,QTLU20,RANK30,0.7359
440,QTLD30,SUMP20,0.7355
441,QTLD30,SUMN20,0.7355
442,QTLD30,SUMD20,0.7355
443,MA30,RANK20,0.7352
444,IMXD20,IMXD30,0.7347
445,MA60,SUMP30,0.7343
446,MA60,SUMN30,0.7343
447,MA60,SUMD30,0.7343
448,ROC30,QTLD60,0.734
449,QTLD20,RANK20,0.7335
450,CNTD20,SUMP20,0.7335
451,CNTD20,SUMN20,0.7335
452,CNTD20,SUMD20,0.7335
453,IMIN20,SUMP20,0.7332
454,IMIN20,SUMN20,0.7332
455,IMIN20,SUMD20,0.7332
456,ROC20,RANK30,0.7329
457,MA20,RSV30,0.7328
458,RSV20,IMXD10,0.7328
459,MA60,QTLD60,0.7326
460,MA60,SUMP60,0.7324
461,MA60,SUMN60,0.7324
462,MA60,SUMD60,0.7324
463,QTLU20,RANK20,0.7319
464,BETA10,QTLD30,0.7316
465,BETA30,SUMP30,0.7316
466,BETA30,SUMN30,0.7316
467,BETA30,SUMD30,0.7316
468,QTLD60,RSV30,0.7316
469,RANK60,SUMP60,0.7316
470,RANK60,SUMN60,0.7316
471,RANK60,SUMD60,0.7316
472,RSV20,IMXD20,0.7311
473,STD5,STD10,0.7309
474,BETA20,IMXD20,0.7307
475,MA20,MAX20,0.7304
476,RANK10,SUMD10,0.7304
477,RANK10,SUMP10,0.7303
478,RANK10,SUMN10,0.7303
479,IMAX60,SUMP60,0.7302
480,IMAX60,SUMN60,0.7302
481,IMAX60,SUMD60,0.7302
482,BETA20,QTLU30,0.7294
483,MA30,MA60,0.7293
484,RSV20,RSV60,0.7292
485,QTLU20,QTLD60,0.729
486,QTLD30,RSV30,0.7289
487,QTLD60,SUMP20,0.7288
488,QTLD60,SUMN20,0.7288
489,QTLD60,SUMD20,0.7288
490,CNTD30,SUMD30,0.7288
491,ROC10,RSV20,0.7287
492,QTLD30,RSV20,0.7286
493,CNTD30,SUMP30,0.7286
494,CNTN20,SUMP20,0.7285
495,CNTN20,SUMN20,0.7285
496,CNTN20,SUMD20,0.7285
497,CNTD30,SUMN30,0.7285
498,MA30,QTLU10,0.7276
